Pedido,Nombre,Apellido,Telefono,Encargo,Entrega,Observaciones,Elaborado,Entregado,Modificar,Recogida,Familia1,Producto1,ID1,Cantidad1,Unidad1,Obs1,Familia2,Producto2,ID2,Cantidad2,Unidad2,Obs2,Familia3,Producto3,ID3,Cantidad3,Unidad3,Obs3,Familia4,Producto4,ID4,Cantidad4,Unidad4,Obs4,Familia5,Producto5,ID5,Cantidad5,Unidad5,Obs5,Familia6,Producto6,ID6,Cantidad6,Unidad6,Obs6,Familia7,Producto7,ID7,Cantidad7,Unidad7,Obs7,Familia8,Producto8,ID8,Cantidad8,Unidad8,Obs8,Familia9,Producto9,ID9,Cantidad9,Unidad9,Obs9,Familia10,Producto10,ID10,Cantidad10,Unidad10,Obs10,Familia11,Producto11,ID11,Cantidad11,Unidad11,Obs11,Familia12,Producto12,ID12,Cantidad12,Unidad12,Obs12,Familia13,Producto13,ID13,Cantidad13,Unidad13,Obs13,Familia14,Producto14,ID14,Cantidad14,Unidad14,Obs14,Familia15,Producto15,ID15,Cantidad15,Unidad15,Obs15,Familia16,Producto16,ID16,Cantidad16,Unidad16,Obs16,Familia17,Producto17,ID17,Cantidad17,Unidad17,Obs17,Familia18,Producto18,ID18,Cantidad18,Unidad18,Obs18,Familia19,Producto19,ID19,Cantidad19,Unidad19,Obs19,Familia20,Producto20,ID20,Cantidad20,Unidad20,Obs20
P0012,Kate,Galeano,123,08-11-2025,08-11-2025,,False,False,,,Cerdo,Pechuga,A006,6.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0013,Bryan,Antonio,90823467423,11-11-2025,25-11-2025,,False,False,,,Pollo,Pechuga,A006,2.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0014,Antonio,Bryan,1239312,11-11-2025,29-11-2025,,False,False,,,Ternera,Cuarto,A009,2.0,KG,Bien cortado,Huevo,Huevos,A003,3.0,Unidades,Si,Cerdo,Pechuga,A006,4.0,Gramos,Bien cortadito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0015,Carlos,Ernesto,91239893,11-11-2025,29-12-2025,,False,False,,,Ternera,Cuarto,A0137,2.0,KG,se corta en trozos,Cerdo,Pechuga,A006,3.0,Gramos,De pollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0016,Clark,Kent,9871723,11-11-2025,10-01-2026,,False,False,,,Pollo,Pierna de pollo,A001,2.0,Unidades,,Cerdo,Pechuga,A006,3.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0017,Enrique,Corbi,34784293,11-11-2025,23-02-2026,,False,False,,,Pollo,Pechuga,A006,1.0,Gramos,,Pollo,Pierna de pollo,A001,3.0,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0018,Matt,Shadows,189027386,11-11-2025,30-12-2025,,False,False,,,Carne Picada,Carne en trocitos,A008,5.0,KG,,Huevo,Huevos,A003,3.0,Unidades,,Maduradas,Carne molida,A005,2.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0019,Bryan,Myers,19237123,11-11-2025,19-12-2025,,False,False,,,Maduradas,Carne molida,A005,5.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0020,Spider,Man,123,11-11-2025,11-11-2025,,False,False,,,Maduradas,Carne molida,A005,4.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0021,Rodrigo,Avila,91723,11-11-2025,24-12-2025,,False,False,,,Huevo,Huevos,A003,5.0,Unidades,,Queso,Queso amarillo,A004,10.0,KG,,Pollo,Pechuga,A006,30.0,Gramos,Bien cortado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0022,Mark,Batista,1234567,14-11-2025,14-12-2025,,True,False,,7.0,Huevo,Huevos,A003,10.0,Unidades,,Pavo y aves,pato,A011,3.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0023,Marcos,Bautista,91823576,14-11-2025,14-12-2025,,True,True,,1.0,Huevo,Huevos,A003,5.0,Unidades,,Pavo y aves,pato,A011,7.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0024,Pedro,Mancia,91273567,14-11-2025,14-12-2025,,True,True,,6.0,Huevo,Huevos,A003,3.0,Unidades,,Pavo y aves,pato,A011,3.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0025,Carlaa,Mart,901273,14-11-2025,14-12-2025,,True,True,,3.0,Pavo y aves,pato,A011,5.0,Gramos,,Huevo,Huevos,A003,5.0,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0026,Pedrito,Pablo,917237,14-11-2025,14-12-2025,,True,False,,2.0,Queso,Queso amarillo,A004,30.0,KG,,Maduradas,Carne molida,A005,10.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0027,Pablo,Pedrito,981623123,14-11-2025,14-12-2025,,True,False,,5.0,Maduradas,Carne molida,A005,30.0,KG,,Queso,Queso amarillo,A004,10.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0029,Rooood,AAaavi,102937,15-11-2025,30-11-2025,,False,False,,,Maduradas,Carne molida,A005,10.0,KG,,Queso,Queso amarillo,A004,10.0,KG,,Huevo,Huevos,A003,20.0,Unidades,,Pollo,Pierna de pollo,A001,30.0,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0030,Roooooooooood,Aaaaavila,1089237,15-11-2025,29-11-2025,Si,False,False,,,Ternera,Cuarto,A009,1.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0031,A,A,123123,15-11-2025,30-11-2025,A,False,False,,,Queso,Queso amarillo,A004,2.0,KG,sI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0032,Rodrigo1,Avila1,123423534,15-11-2025,15-11-2025,Se entregará a otra persona porque ...,True,False,,1.0,Pollo,Pierna de pollo,A001,3.0,Unidades,Bien fresca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0033,Rodrigo,Avila,120389775,19-11-2025,19-11-2025,,False,False,,,Carne Picada,Carne en trocitos,A008,2.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0034,Juana,Montes,1238938129,19-11-2025,30-11-2025,,False,False,,,Pavo y aves,pato,A011,40.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0035,Rodrigo,aVILA,1298379812,20-11-2025,20-11-2025,,False,False,,,Huevo,Huevos,A003,1.0,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0036,Rod,Avi,1290375,22-11-2025,22-11-2025,,False,False,,,Maduradas,Carne molida,A005,3.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0037,Tina,Avias,1283467,22-11-2025,22-11-2025,,False,False,,,Pollo,Pierna de pollo,A001,4.0,Unidades,,Maduradas,Carne molida,A005,6.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0038,Roooood,Avilaaaaa,2389489234,22-11-2025,14-12-2025,,True,False,,9.0,Ternera,Cuarto,A009,3.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0039,Benito,Juarez,1283875,22-11-2025,14-12-2025,,True,False,,10.0,Pavo y aves,pato,A011,4.0,Gramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0040,Jos,Rivera,12375126453,22-11-2025,14-12-2025,,True,False,,4.0,Queso,Queso amarillo,A004,4.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0041,Rodrigo,Avila,128037,22-11-2025,13-01-2026,,False,False,,,Carne Picada,Carne en trocitos,A008,2.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0042,Rodrigo,Avila,120938123,22-11-2025,30-12-2025,,False,False,,,Pescado,Boca colorada,A012,3.0,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
